format,sourceid,collection_name,filename,year,photographer,label,marque,model,model_year,people,city,state,country,event,description,inst_notes,prod_notes,has_more_metadata,format_authority
black-and-white negatives,2004-100CRAI-b1_1.0_0001,Bruce R Craig Photograph Collection,2004-100CRAI-b1_1.0_0001.tif,,Bruce R Craig,Rutherford Special,Rutherford Special,,,"Rutherford, Slim",,,"full car (rear), #62",,,
black-and-white negatives,2004-100CRAI-b1_1.0_0002,Bruce R Craig Photograph Collection,2004-100CRAI-b1_1.0_0002.tif,,Bruce R Craig,City of Roses,City of Roses,,,"Sezekendy, Charley",,,"full car, #2",,,
black-and-white negatives,2004-100CRAI-b1_1.0_0003,Bruce R Craig Photograph Collection,2004-100CRAI-b1_1.0_0003.tif,,Ed Hitzwe,Wilburn | Morgan,,,,Wilburn | Morgan,,,"install tire on wheel, posed photo",,,
black-and-white negatives,2004-100CRAI-b1_1.0_0004,Bruce R Craig Photograph Collection,2004-100CRAI-b1_1.0_0004.tif,,Ted Wilson,Gilmore Stadium Stills,,,,"Warren, Pat | Mills, Curly | Distarce, Dominic | Danton, Darce | Woodman, Hap | Forrest, Howard | Faulkner, Leo | Moffatt, Doc | Mortemore, Chet",Los Angeles (Calif.) | United States,,,,,
black-and-white negatives,2004-100CRAI-b1_2.0_0001,Bruce R Craig Photograph Collection,2004-100CRAI-b1_2.0_0001.tif,,Ted Wilson,Action San Jose Speedway,,,,"Gordon, Al",San Jose (Calif.) | United States,,,,,
black-and-white negatives,2004-100CRAI-b1_2.0_0002,Bruce R Craig Photograph Collection,2004-100CRAI-b1_2.0_0002.tif,,Ted Wilson,Action San Jose Speedway,,,,"Tomei, Louie | Edwards, Herk",San Jose (Calif.) | United States,,,,,
black-and-white negatives,2004-100CRAI-b1_2.0_0003,Bruce R Craig Photograph Collection,2004-100CRAI-b1_2.0_0003.tif,,Ted Wilson,Action San Jose Speedway,,,,"Kennealy, Mel |Gordon, Al",San Jose (Calif.) | United States,,,,,
black-and-white negatives,2004-100CRAI-b1_2.0_0004,Bruce R Craig Photograph Collection,2004-100CRAI-b1_2.0_0004.tif,,Bruce R Craig,Gilmore Stadium Stills,,,,,Los Angeles (Calif.) | United States,,,,,"DeBell, Leonard (owner), Offenhauser engines"
black-and-white negatives,2004-100CRAI-b1_3.0_0001,Bruce R Craig Photograph Collection,2004-100CRAI-b1_3.0_0001.tif,1923,Ted Wilson,Indianapolis Motor Speedway,Mercedes,,,"Lautenschlager, Christian",Indianapolis (Ind.) | United States,500 Mile Race,Team car,,,Mercedes Team
black-and-white negatives,2004-100CRAI-b1_3.0_0002,Bruce R Craig Photograph Collection,2004-100CRAI-b1_3.0_0002.tif,1923,Ted Wilson,Indianapolis Motor Speedway,Mercedes,,,"Lautenschlager, Christian",Indianapolis (Ind.) | United States,500 Mile Race,Team car,,,
black-and-white negatives,2004-100CRAI-b1_3.0_0003,Bruce R Craig Photograph Collection,2004-100CRAI-b1_3.0_0003.tif,1923,Ted Wilson,Indianapolis Motor Speedway,Mercedes,,,"Woerner, Christian",Indianapolis (Ind.) | United States,500 Mile Race,,,,
